UF,Reg,Ano,Quant_Beneficiario_PCD,Quant_Beneficiario_Total,Quant_Recurso_PCD,Quant_Recurso_Total,,
Rio Grande do Sul,Sul,2013,102368,173207,829059906,1403947657,,
Mato Grosso do Sul,Centro Oeste,2013,32584,73060,264619111,593553159,,
Mato Grosso,Centro Oeste,2013,39366,78377,319587844,636441543,,
Goiás,Centro Oeste,2013,67901,134127,551622908,1089843304,,
Distrito Federal,Centro Oeste,2013,23711,45938,192029315,372497137,,
Rondônia,Norte,2014,24808,39880,214205894,344579936,,
Acre,Norte,2014,15367,21729,131975413,186745558,,
Amazonas,Norte,2014,48514,88722,421045893,770222727,,
Roraíma,Norte,2014,7267,10790,62945662,93512407,,
Pará,Norte,2014,101587,186730,881796007,1621095634,,
Amapá,Norte,2014,10629,21455,92200268,186175456,,
Tocantins,Norte,2014,20770,36633,180107916,317712029,,
Maranhão,Nordeste,2014,100845,190305,875133603,1652015139,,
Piauí,Nordeste,2014,42494,62831,368643121,545150840,,
Ceará,Nordeste,2014,138310,223410,1198699864,1937112991,,
Rio Grande do Norte,Nordeste,2014,47175,69069,408524990,598395511,,
Paraíba,Nordeste,2014,63428,96708,549356249,837920226,,
Pernambuco,Nordeste,2014,165014,277799,1428864669,2407492186,,
Alagoas,Nordeste,2014,72966,107581,632563077,932855373,,
Sergipe,Nordeste,2014,35357,50810,305491534,439256614,,
Bahia,Nordeste,2014,209643,390955,1817640596,3390856521,,
Minas Gerais,Sudeste,2014,225210,398017,1949967120,3448626084,,
Espírito Santo,Sudeste,2014,31696,59262,274157529,513166943,,
Rio de Janeiro,Sudeste,2014,111769,283260,968535346,2456688960,,
São Paulo,Sudeste,2014,302076,658509,2615197588,5708222151,,
Paraná,Sul,2014,103660,189961,898845374,1647926540,,
Santa Catarina,Sul,2014,41767,64210,361614813,556123552,,
Rio Grande do Sul,Sul,2014,108214,181188,935681233,1568084198,,
Mato Grosso do Sul,Centro Oeste,2014,34683,76261,300757109,661578806,,
Mato Grosso,Centro Oeste,2014,40836,79788,354051799,691899615,,
Goiás,Centro Oeste,2014,72172,139377,626051467,1209255421,,
Distrito Federal,Centro Oeste,2014,24994,48367,216133000,418757995,,
Rondônia,Norte,2015,25803,41057,241297530,384190613,,
Acre,Norte,2015,16137,22695,150654932,212077214,,
Amazonas,Norte,2015,50343,92274,475253431,871483835,,
Roraíma,Norte,2015,7688,11488,72465292,108355221,,
Pará,Norte,2015,107455,195625,1015158044,1848415303,,
Amapá,Norte,2015,11306,22578,106723329,213216713,,
Tocantins,Norte,2015,21311,37015,201159224,349390698,,
Maranhão,Nordeste,2015,106188,195644,1002938600,1848390786,,
Piauí,Nordeste,2015,45325,66415,427944749,627152901,,
Ceará,Nordeste,2015,145603,234432,1373420806,2212293709,,
Rio Grande do Norte,Nordeste,2015,49722,72969,468668905,688080036,,
